# CSV Comma Separated; Lists Semicolon Separated; Ranges Colon Separated Both Inclusive
# Ground Truth Loop Closure File, generated from ImageCollectionCoordinates.txt
# Combined 0001.jpg and 0002.jpg for HTMap to 0001_0002.jpg
# Combined their corresponding loops [10 11 12 13 14 15 16] and [11 12 13 14 15 16 17] to [5, 6, 7, 8]
# Manually updated and verified
# 
img,index,loops
0001_0002.jpg,0,
0003_0004.jpg,1,
0005_0006.jpg,2,
0007_0008.jpg,3,
0009_0010.jpg,4,
0011_0012.jpg,5,
0013_0014.jpg,6,
0015_0016.jpg,7,
0017_0018.jpg,8,
0019_0020.jpg,9,
0021_0022.jpg,10,
0023_0024.jpg,11,
0025_0026.jpg,12,
0027_0028.jpg,13,
0029_0030.jpg,14,
0031_0032.jpg,15,
0033_0034.jpg,16,
0035_0036.jpg,17,
0037_0038.jpg,18,
0039_0040.jpg,19,
0041_0042.jpg,20,
0043_0044.jpg,21,
0045_0046.jpg,22,
0047_0048.jpg,23,
0049_0050.jpg,24,
0051_0052.jpg,25,
0053_0054.jpg,26,
0055_0056.jpg,27,
0057_0058.jpg,28,
0059_0060.jpg,29,
0061_0062.jpg,30,
0063_0064.jpg,31,
0065_0066.jpg,32,
0067_0068.jpg,33,
0069_0070.jpg,34,
0071_0072.jpg,35,
0073_0074.jpg,36,
0075_0076.jpg,37,
0077_0078.jpg,38,
0079_0080.jpg,39,
0081_0082.jpg,40,
0083_0084.jpg,41,
0085_0086.jpg,42,
0087_0088.jpg,43,
0089_0090.jpg,44,
0091_0092.jpg,45,
0093_0094.jpg,46,
0095_0096.jpg,47,
0097_0098.jpg,48,
0099_0100.jpg,49,
0101_0102.jpg,50,
0103_0104.jpg,51,
0105_0106.jpg,52,
0107_0108.jpg,53,
0109_0110.jpg,54,
0111_0112.jpg,55,
0113_0114.jpg,56,
0115_0116.jpg,57,
0117_0118.jpg,58,
0119_0120.jpg,59,
0121_0122.jpg,60,
0123_0124.jpg,61,
0125_0126.jpg,62,
0127_0128.jpg,63,
0129_0130.jpg,64,
0131_0132.jpg,65,
0133_0134.jpg,66,
0135_0136.jpg,67,
0137_0138.jpg,68,
0139_0140.jpg,69,
0141_0142.jpg,70,
0143_0144.jpg,71,
0145_0146.jpg,72,
0147_0148.jpg,73,
0149_0150.jpg,74,
0151_0152.jpg,75,
0153_0154.jpg,76,
0155_0156.jpg,77,
0157_0158.jpg,78,
0159_0160.jpg,79,
0161_0162.jpg,80,
0163_0164.jpg,81,
0165_0166.jpg,82,
0167_0168.jpg,83,
0169_0170.jpg,84,
0171_0172.jpg,85,
0173_0174.jpg,86,
0175_0176.jpg,87,
0177_0178.jpg,88,
0179_0180.jpg,89,
0181_0182.jpg,90,
0183_0184.jpg,91,
0185_0186.jpg,92,
0187_0188.jpg,93,
0189_0190.jpg,94,
0191_0192.jpg,95,
0193_0194.jpg,96,
0195_0196.jpg,97,
0197_0198.jpg,98,
0199_0200.jpg,99,
0201_0202.jpg,100,
0203_0204.jpg,101,
0205_0206.jpg,102,
0207_0208.jpg,103,
0209_0210.jpg,104,
0211_0212.jpg,105,
0213_0214.jpg,106,
0215_0216.jpg,107,
0217_0218.jpg,108,
0219_0220.jpg,109,
0221_0222.jpg,110,
0223_0224.jpg,111,
0225_0226.jpg,112,
0227_0228.jpg,113,
0229_0230.jpg,114,
0231_0232.jpg,115,
0233_0234.jpg,116,
0235_0236.jpg,117,
0237_0238.jpg,118,
0239_0240.jpg,119,
0241_0242.jpg,120,
0243_0244.jpg,121,
0245_0246.jpg,122,
0247_0248.jpg,123,
0249_0250.jpg,124,
0251_0252.jpg,125,
0253_0254.jpg,126,
0255_0256.jpg,127,
0257_0258.jpg,128,
0259_0260.jpg,129,
0261_0262.jpg,130,
0263_0264.jpg,131,
0265_0266.jpg,132,
0267_0268.jpg,133,
0269_0270.jpg,134,
0271_0272.jpg,135,
0273_0274.jpg,136,
0275_0276.jpg,137,
0277_0278.jpg,138,
0279_0280.jpg,139,
0281_0282.jpg,140,
0283_0284.jpg,141,
0285_0286.jpg,142,
0287_0288.jpg,143,
0289_0290.jpg,144,
0291_0292.jpg,145,
0293_0294.jpg,146,
0295_0296.jpg,147,
0297_0298.jpg,148,
0299_0300.jpg,149,
0301_0302.jpg,150,
0303_0304.jpg,151,
0305_0306.jpg,152,
0307_0308.jpg,153,
0309_0310.jpg,154,
0311_0312.jpg,155,
0313_0314.jpg,156,
0315_0316.jpg,157,
0317_0318.jpg,158,
0319_0320.jpg,159,
0321_0322.jpg,160,
0323_0324.jpg,161,
0325_0326.jpg,162,
0327_0328.jpg,163,
0329_0330.jpg,164,
0331_0332.jpg,165,
0333_0334.jpg,166,
0335_0336.jpg,167,
0337_0338.jpg,168,
0339_0340.jpg,169,
0341_0342.jpg,170,
0343_0344.jpg,171,
0345_0346.jpg,172,
0347_0348.jpg,173,
0349_0350.jpg,174,
0351_0352.jpg,175,
0353_0354.jpg,176,
0355_0356.jpg,177,
0357_0358.jpg,178,
0359_0360.jpg,179,
0361_0362.jpg,180,
0363_0364.jpg,181,
0365_0366.jpg,182,
0367_0368.jpg,183,
0369_0370.jpg,184,
0371_0372.jpg,185,
0373_0374.jpg,186,
0375_0376.jpg,187,
0377_0378.jpg,188,
0379_0380.jpg,189,
0381_0382.jpg,190,
0383_0384.jpg,191,
0385_0386.jpg,192,
0387_0388.jpg,193,
0389_0390.jpg,194,
0391_0392.jpg,195,
0393_0394.jpg,196,
0395_0396.jpg,197,
0397_0398.jpg,198,
0399_0400.jpg,199,
0401_0402.jpg,200,
0403_0404.jpg,201,
